Age	Conference	Date	Draft Year	Player	Position	Season	Team
29	NOVALUES	14-Apr-85	1978	MichealRayRichardson	PG	1984-1985	NewJerseyNets
23	NOVALUES	7-Apr-85	1982	DerekSmith	SG	1984-1985	LosAngelesClippers
28	NOVALUES	1-Apr-85	1979	CalvinNatt	F	1984-1985	DenverNuggets
37	NOVALUES	24-Mar-85	1969	KareemAbdul-Jabbar	C	1984-1985	LosAngelesLakers
28	NOVALUES	17-Mar-85	1978	LarryBird	SF	1984-1985	BostonCeltics
26	NOVALUES	10-Mar-85	1980	DarrellGriffith	SG	1984-1985	UtahJazz
24	NOVALUES	3-Mar-85	1982	SleepyFloyd	PG	1984-1985	GoldenStateWarriors
25	NOVALUES	24-Feb-85	1981	MarkAguirre	SF	1984-1985	DallasMavericks
25	NOVALUES	17-Feb-85	1979	MagicJohnson	PG	1984-1985	LosAngelesLakers
25	NOVALUES	3-Feb-85	1982	DominiqueWilkins	SF	1984-1985	AtlantaHawks
32	NOVALUES	27-Jan-85	1974	TomMcMillen	PF	1984-1985	WashingtonBullets
22	NOVALUES	20-Jan-85	1984	MichaelJordan	SG	1984-1985	ChicagoBulls
31	NOVALUES	13-Jan-85	1975	WorldB.Free	G	1984-1985	ClevelandCavaliers
23	NOVALUES	6-Jan-85	1981	IsiahThomas	PG	1984-1985	DetroitPistons
29	NOVALUES	30-Dec-84	1978	MichealRayRichardson	PG	1984-1985	NewJerseyNets
23	NOVALUES	23-Dec-84	1982	TerryCummings	PF	1984-1985	MilwaukeeBucks
29	NOVALUES	30-Dec-84	1978	MichealRayRichardson	PG	1984-1985	NewJerseyNets
23	NOVALUES	16-Dec-84	1982	DerekSmith	SG	1984-1985	LosAngelesClippers
25	NOVALUES	9-Dec-84	1981	OrlandoWoolridge	PF	1984-1985	ChicagoBulls
29	NOVALUES	2-Dec-84	1977	JackSikma	C	1984-1985	SeattleSuperSonics
28	NOVALUES	25-Nov-84	1977	BernardKing	SF	1984-1985	NewYorkKnicks
29	NOVALUES	18-Nov-84	1976	MosesMalone	C	1984-1985	PhiladelphiaSixers
31	NOVALUES	11-Nov-84	1976	AlexEnglish	SF	1984-1985	DenverNuggets
26	NOVALUES	4-Nov-84	1981	LarryNance	PF	1984-1985	PhoenixSuns
29	NOVALUES	30-Dec-84	1978	MichealRayRichardson	PG	1984-1985	NewJerseyNets
26	NOVALUES	13-Apr-86	1982	DominiqueWilkins	SF	1985-1986	AtlantaHawks
28	NOVALUES	6-Apr-86	1981	HerbWilliams	C	1985-1986	IndianaPacers
23	NOVALUES	30-Mar-86	1984	CharlesBarkley	PF	1985-1986	PhiladelphiaSixers
30	NOVALUES	23-Mar-86	1976	AdrianDantley	SF	1985-1986	UtahJazz
29	NOVALUES	16-Mar-86	1978	LarryBird	SF	1985-1986	BostonCeltics
26	NOVALUES	9-Mar-86	1979	MagicJohnson	PG	1985-1986	LosAngelesLakers
23	NOVALUES	2-Mar-86	1984	CharlesBarkley	PF	1985-1986	PhiladelphiaSixers
28	NOVALUES	23-Feb-86	1979	SidneyMoncrief	SG	1985-1986	MilwaukeeBucks
29	NOVALUES	16-Feb-86	1978	LarryBird	SF	1985-1986	BostonCeltics
32	NOVALUES	2-Feb-86	1976	AlexEnglish	SF	1985-1986	DenverNuggets
23	NOVALUES	26-Jan-86	1984	CharlesBarkley	PF	1985-1986	PhiladelphiaSixers
29	NOVALUES	19-Jan-86	1978	LarryBird	SF	1985-1986	BostonCeltics
29	NOVALUES	12-Jan-86	1979	CalvinNatt	F	1985-1986	DenverNuggets
23	NOVALUES	5-Jan-86	1983	ClydeDrexler	SG	1985-1986	PortlandTrailBlazers
26	NOVALUES	29-Dec-85	1982	DominiqueWilkins	SF	1985-1986	AtlantaHawks
27	NOVALUES	22-Dec-85	1981	LarryNance	PF	1985-1986	PhoenixSuns
23	NOVALUES	15-Dec-85	1984	AlvinRobertson	SG	1985-1986	SanAntonioSpurs
27	NOVALUES	8-Dec-85	1980	JeffRuland	C	1985-1986	WashingtonBullets
26	NOVALUES	9-Mar-86	1979	MagicJohnson	PG	1985-1986	LosAngelesLakers
29	NOVALUES	1-Dec-85	1978	LarryBird	SF	1985-1986	BostonCeltics
32	NOVALUES	24-Nov-85	1976	AlexEnglish	SF	1985-1986	DenverNuggets
23	NOVALUES	17-Nov-85	1985	PatrickEwing	C	1985-1986	NewYorkKnicks
25	NOVALUES	10-Nov-85	1981	BuckWilliams	PF	1985-1986	NewJerseyNets
24	NOVALUES	3-Nov-85	1982	DerekSmith	SG	1985-1986	LosAngelesClippers
37	NOVALUES	19-Apr-87	1972	JuliusErving	SF	1986-1987	PhiladelphiaSixers
